id,description,size,price,product_code,typeid,qty_break,qty_discount,qty_instock,qty_ordered,special,clearance,can_backorder,status,cost,last_costed_date,display_order,barcode,color_name,color_background_color,color_background_image,shipping_weight,shipping_volume,shipping_container,notify_when_instock,source,new_product,core_product
3525,aaa,Small 57xH18cm,5790,DB072-sml,527,0,0,2,0,0,0,y,active,2889,14/06/2011,100,932222900220,Black Mink,FFFFFF,,0,0,,y,B,0,0
3530,aaa,Large 87xH23cm,10550,DB073-lge,527,0,0,2,0,0,0,n,active,5530,14/06/2011,50,932222900243,Chinchilla,FFFFFF,,0,0,,y,B,0,0
3529,aaa,Medium 72xH20cm,7708,DB073-med,527,0,0,0,0,0,0,n,active,3854,14/06/2011,60,932222900242,Chinchilla,FFFFFF,,0,0,,y,B,0,0
3528,aaa,Small 57xH18cm,5790,DB073-sml,527,0,0,3,0,0,0,n,active,2889,14/06/2011,70,932222900241,Chinchilla,FFFFFF,,0,0,,y,B,0,0
3586,aaa,47x47xH51cm,2695,DB080,561,2,10,0,0,0,0,n,active,1035,20/09/2011,0,932222901010,,FFFFFF,,0,0,,y,F,0,0
3587,aaa,42x45xH43cm,2695,DB081,562,2,10,57,0,0,0,n,active,1047,20/09/2011,20,932222901011,,FFFFFF,,0,0,,y,F,0,0
3577,aaa,Mini 55x72cm,266,DB083,474,0,0,0,0,0,0,y,active,140,7/11/2012,100,932222901131,,FFFFFF,,0,0,,,B,0,0
3578,aaa,Small 70x72cm,339,DB084,474,0,0,0,0,0,0,y,active,150,18/03/2013,90,932222901132,,FFFFFF,,0,0,,,B,0,0
3549,aaa,Medium 60x60xH10cm,2495,DB085,552,0,0,0,0,0,0,n,active,1030,18/08/2011,20,932222901028,As Pictured,FFFFFF,,0,0,,,B,0,0
3749,aaa,Medium 60x60xH10cm,1779,DB085C,592,0,0,0,0,0,0,n,active,830,0000-00-00,15,NA81,,FFFFFF,,0,0,,,B,0,0
3647,aaa,Large 70cm,1000,DB107-lge,593,0,0,9,0,0,1,n,active,961,10/01/2012,60,932222901124,Dark Blue,38,,0,0,,,F,0,0
3645,aaa,Small 45cm,600,DB107-sml,593,0,0,1,0,0,1,n,active,561,10/01/2012,80,932222901122,Dark Blue,38,,0,0,,,F,0,0
3651,aaa,Large 70cm,1000,DB108-lge,593,0,0,3,0,0,1,n,active,961,10/01/2012,20,932222901127,Dark Green,3333,,0,0,,,F,0,0
3649,aaa,Small 45cm,600,DB108-sml,593,0,0,1,0,0,1,n,active,561,10/01/2012,40,932222901125,Dark Green,3333,,0,0,,,F,0,0
3618,aaa,Medium 60x60xH10cm,2495,DB109,584,0,0,0,0,0,0,n,active,1123,26/10/2012,15,932222901134,As Pictured,FFFFFF,,0,0,,,B,0,0
