id	description	size	price	product_code	typeid	qty_break	qty_discount	qty_instock	qty_ordered	special	clearance	can_backorder	status	cost	last_costed_date	display_order	barcode	color_name	color_background_color	color_background_image	shipping_weight	shipping_volume	shipping_container	notify_when_instock	source	new_product	core_product
3766	Glitter Mice<br>Assorted Colours<br>50pcs per Tub	5cm	2900	CT079	613	0	0	11	0	0	0	n	active	1160	7/06/2012	80	932222901222		FFFFFF		0	0			F	0	0
3767	Crystal Cat Balls with Bell<br>Assorted Colours<br>36pcs per Tub	4cm	2484	CT080	613	0	0	10	0	0	0	n	active	1015	7/06/2012	60	932222901223		FFFFFF		0	0			F	0	0
3768	Hard Sponge Balls<br>Assorted Colours<br>30pcs per Tub	3.5cm	1470	CT081	613	0	0	33	0	0	0	n	active	599	7/06/2012	40	932222901224		FFFFFF		0	0			F	0	0
3769	Tennis Style Balls with Rattle<br>Assorted Colours<br>36pcs per Tub	4cm	2232	CT082	613	0	0	52	0	0	0	n	active	868	7/06/2012	20	932222901225		FFFFFF		0	0			F	0	0
3861	Crinkly Cat Tunnel	85cm	695	CT092	627	12	10	348	0	0	0	n	active	333	4/12/2012	0	932222901522	Stripped	FFFFFF		0	0			F	0	0
1557	Car Back Seat Cover	140x100cm	1760	CVR02	72	10	15	0	0	0	0	n	active	446	7/06/2012	20	932222900434		FFFFFF		0	0.632		y	F	0	1
1558	Car Hammock Style Cover	140x150cm	1960	CVR03	72	10	15	0	0	0	0	n	active	562	16/08/2011	10	932222900435		FFFFFF		0.946	0		y	F	0	1
2854	Polyester Filled Cushion	Medium 68x80cm	1195	DB006	391	0	0	700	0	0	0	n	active	466	2/01/2011	10	932222900763	Assorted Tartans	FFFFFF		0	0			B	0	0
2855	Polyester Filled Cushion	Large 80x100cm	1767	DB007	391	0	0	350	0	0	0	n	active	664	2/01/2011	5	932222900762	Assorted Tartans	FFFFFF		0	0			B	0	0
2993	Pet Bed with Sherpa Lining	Large 80x62xH20cm	4195	DB010-LGE	431	0	0	17	0	0	0	n	active	1293	7/06/2012	98	932222900861	Brown	603311		0	0		y	F	0	0
2992	Pet Bed with Sherpa Lining	Medium 70x55xH18cm	3350	DB010-MED	431	0	0	15	0	0	0	n	active	1197	7/06/2012	99	932222900860	Brown	603311		0	0		y	F	0	0
2995	Pet Bed with Sherpa Lining	Set of 4pcs	13995	DB010-SET	431	2	20	0	0	0	0	n	active	4945	7/06/2012	90	NA8	Brown	603311		0	0		y	B	0	0
2991	Pet Bed with Sherpa Lining	Small 60x45xH16cm	2395	DB010-SML	431	0	0	15	0	0	0	n	active	1025	7/06/2012	100	932222900859	Brown	603311		0	0		y	F	0	0
2994	Pet Bed with Sherpa Lining	XLarge 90x70xH22cm	5195	DB010-XLG	431	0	0	14	0	0	0	n	active	1430	7/06/2012	97	932222900862	Brown	603311		0	0		y	F	0	0
3038	Stay Dry Matting 	Custom size	1	DB020-cus	441	0	0	0	0	0	0	n	active	1	0000-00-00	30	NA48	White	FFFFFF		0	0			B	0	0
3045	Stay Dry Matting	Full Roll 150x10mt	69900	DB020-flr	441	0	0	0	0	0	0	n	active	15000	0000-00-00	40	NA47	White	FFFFFF		0	0			B	0	0
3043	Stay Dry Matting	Giant 150x91.5cm	6398	DB020-gnt	441	0	0	0	0	0	0	n	active	1373	0000-00-00	60	NA45	White	FFFFFF		0	0			B	0	0
3044	Stay Dry Matting	Half Roll 75x10mt	34950	DB020-hlf	441	0	0	0	0	0	0	n	active	7500	0000-00-00	50	NA46	White	FFFFFF		0	0			B	0	0
3041	Stay Dry Matting	Large 91.5x75cm	3197	DB020-lge	441	0	0	0	0	0	0	n	active	686	0000-00-00	80	NA43	White	FFFFFF		0	0			B	0	0
3040	Stay Dry Matting	Medium 75x51cm	1785	DB020-med	441	0	0	0	0	0	0	n	active	383	0000-00-00	90	NA42	White	FFFFFF		0	0			B	0	0
3039	Stay Dry Matting	Small 51x38cm	1188	DB020-sml	441	0	0	0	0	0	0	n	active	255	0000-00-00	100	NA41	White	FFFFFF		0	0			B	0	0
3042	Stay Dry Matting	Extra Large 122x75cm	4564	DB020-xlg	441	0	0	0	0	0	0	n	active	915	0000-00-00	70	NA44	White	FFFFFF		0	0			B	0	0
3132	Hessian Sling	Medium 55x94cm	308	DB031	474	0	0	50	0	0	0	y	active	140	7/11/2012	80	932222901128		FFFFFF		0	0			F	0	0
3133	Hessian Sling	Large 70x102cm	353	DB032	474	0	0	400	0	0	0	y	active	150	7/05/2010	70	932222901129		FFFFFF		0	0			F	0	0
3134	Hessian Sling	Jumbo 80x112cm	383	DB033	474	0	0	350	0	0	0	y	active	190	28/02/2013	60	932222901130		FFFFFF		0	0			F	0	0
3135	Poly Prop Sling	Large 70x102cm	288	DB034	576	0	0	400	0	0	0	y	active	50	4/04/2013	69	932222901133		FFFFFF		0	0			F	0	0
3195	Hessian Foam Filled Mat	Small 70x72cm	770	DB035	488	0	0	24	0	0	0	y	active	679	12/08/2012	95	932222900979		FFFFFF		0	0			B	0	0
3196	Hessian Foam Filled Mat	Large 70x102cm	970	DB036	488	0	0	21	0	0	0	y	active	755	8/08/2012	80	932222900980		FFFFFF		0	0			B	0	0
3197	Hessian Foam Filled Mat	Jumbo 80x112cm	1180	DB037	488	0	0	20	0	0	0	y	active	999	8/08/2012	70	932222900981		FFFFFF		0	0			B	0	0
3198	Hessian Foam Filled Mat	Medium 55x94cm	795	DB038	488	0	0	17	0	0	0	y	active	626	8/08/2012	90	932222900982		FFFFFF		0	0			B	0	0
3249	Oxford Rectangular Basket	Large 84x73xH22cm	5800	DB041-lge	493	0	0	32	0	0	0	n	active	2391	7/06/2012	80	932222900647	Black	0		0	0		y	F	0	0
3248	Oxford Rectangular Basket	Medium 72x61xH20cm	4800	DB041-med	493	0	0	31	0	0	0	n	active	1767	7/06/2012	90	932222900646	Black	0		0	0		y	F	0	0
3246	Oxford Rectangular Basket	Set of 4pcs	18250	DB041-set	493	4	30	0	0	0	0	n	active	8420	7/06/2012	60	NA4	Black	0		0	0		y	B	0	0
3247	Oxford Rectangular Basket	Small 60x50xH18cm	3800	DB041-sml	493	4	40	60	0	1	0	n	active	1258	7/06/2012	100	932222900645	Black	0		0	0		y	F	0	0
3250	Oxford Rectangular Basket	XLarge 96x84xH24cm	6800	DB041-xlg	493	0	0	21	0	0	0	n	active	3005	7/06/2012	70	932222900648	Black	0		0	0		y	F	0	0
3258	Pet Slumber Mat	Large 101x71cm	3899	DB042-lge	495	2	50	24	0	1	0	n	active	1375	1/06/2010	80	932222900987	Beige	DEB887		0	0			F	0	0
3257	Pet Slumber Mat	Medium 91x61cm	2864	DB042-med	495	2	50	27	0	1	0	n	active	1090	1/06/2010	90	932222900986	Beige	DEB887		0	0			F	0	0
3255	Pet Slumber Mat	Set of 3pcs	7770	DB042-set	495	2	60	0	0	1	0	n	active	3329	1/06/2010	0	NA36	Beige	DEB887		0	0			B	0	0
3256	Pet Slumber Mat	Small 76x53cm	2174	DB042-sml	495	2	50	24	0	1	0	n	active	864	1/06/2010	100	932222900985	Beige	DEB887		0	0			F	0	0
3264	Oxford Foam Mat	Small 75x50cm	1645	DB043-sml-blk	496	6	20	0	0	0	0	n	active	731	7/06/2012	40	932222900493	Black	0		0	0			B	0	0
3260	Oxford Foam Mat	Small 75x50cm	1645	DB043-sml-org	496	6	20	0	0	0	0	n	active	731	7/06/2012	35	932222901301	Orange/Red	FF4500		0	0			B	0	0
3274	Oxford Poly Mat	Large 105x70cm	2347	DB044-lge-blk	497	4	10	19	0	0	0	n	active	1043	7/06/2012	20	932222900651	Black	0		0	0			B	0	0
3270	Oxford Poly Mat	Large 105x70cm	2347	DB044-lge-org	497	4	10	13	0	0	0	n	active	1043	7/06/2012	15	932222901300	Orange/Red	FF4500		0	0			B	0	0
3273	Oxford Poly Mat	Medium 90x60cm	1917	DB044-med-blk	497	4	10	19	0	0	0	n	active	852	7/06/2012	30	932222900650	Black	0		0	0			B	0	0
3269	Oxford Poly Mat	Medium 90x60cm	1917	DB044-med-org	497	4	10	29	0	0	0	n	active	852	7/06/2012	25	932222901299	Orange/Red	FF4500		0	0			B	0	0
3271	Oxford Poly Mat	Set of 3pcs	5166	DB044-set-blk	497	4	15	0	0	0	0	n	active	2551	7/06/2012	10	NA37	Black	0		0	0			B	0	0
3267	Oxford Poly Mat	Set of 3pcs	5166	DB044-set-org	497	4	15	0	0	0	0	n	active	2551	7/06/2012	5	NA38	Orange/Red	FF4500		0	0			B	0	0
3272	Oxford Poly Mat	Small 75x50cm	1476	DB044-sml-blk	497	4	10	12	0	0	0	n	active	656	7/06/2012	40	932222900649	Black	0		0	0			B	0	0
3268	Oxford Poly Mat	Small 75x50cm	1476	DB044-sml-org	497	4	10	2	0	0	0	n	active	656	7/06/2012	35	932222901298	Orange/Red	FF4500		0	0			B	0	0
3277	Polar Fleece Blanket with Paw Print	100x70cm	4425	DB045	499	4	15	19	0	0	0	n	active	1530	1/02/2012	0	932222900990	As Shown	FFFFFF		0	0			F	0	0
3310	Hessian Foam Filled Mat	Mini 55x72cm	696	DB046	488	0	0	26	0	0	0	y	active	527	8/08/2012	100	932222900994		FFFFFF		0	0			B	0	0
3397	Fur Basket	Large 87xH23cm	10550	DB053-lge	527	0	0	3	0	0	0	n	active	6365	3/12/2010	2	932222900612	Beaver	FFFFFF		0	0		y	B	0	0
3396	Fur Basket	Medium 72xH20cm	7708	DB053-med	527	0	0	0	0	0	0	n	active	4388	3/12/2010	5	932222900611	Beaver	FFFFFF		0	0		y	B	0	0
3395	Fur Basket	Small 57xH18cm	5790	DB053-sml	527	0	0	2	0	0	0	n	active	3232	3/12/2010	7	932222900610	Beaver	FFFFFF		0	0		y	B	0	0
3401	Fur Blanket	Large 110x140cm	6560	DB054-lge	542	0	0	0	0	0	0	n	active	3435	3/12/2010	40	932222900614	Beaver/Brown Backed	FFFFFF		0	0		y	B	0	0
3400	Fur Blanket	Medium 75x110cm	3250	DB054-med	542	0	0	0	0	0	0	n	active	1743	3/12/2010	60	932222900613	Beaver/Brown Backed	FFFFFF		0	0		y	B	0	0
3490	Fur Blanket	Large 110x140cm 	6560	DB065-lge	542	0	0	3	0	0	0	n	active	2782	27/05/2011	90	932222900168	Black Mink/Black Backed	FFFFFF		0	0		y	B	0	0
3489	Fur Blanket	Medium 75x110cm 	3250	DB065-med	542	0	0	3	0	0	0	n	active	1378	27/05/2011	100	932222900167	Black Mink/Black Backed	FFFFFF		0	0		y	B	0	0
3492	Fur Blanket	Large 110x140cm 	6560	DB066-lge	542	0	0	2	0	0	0	n	active	2782	27/05/2011	70	932222900096	Chinchilla/Grey Backed	FFFFFF		0	0		y	B	0	0
