DCN30-red,2.45
DCN35-blk,2.88
DCN35-blu,2.88
DCN35-red,2.88
DCN40-blk,3.16
DCN40-blu,3.16
DCN40-red,3.16
DCN45-blk,3.67
DCN45-blu,3.67
DCN45-red,3.67
DCN50-blk,4.39
DCN50-blu,4.39
DCN50-red,4.39
DCN55-blk,4.83
DCN55-blu,4.83
DCN55-red,4.83
DCN60-blk,5.28
DCN60-blu,5.28
DCN60-red,5.28
DCYB01,3.79
DCYB05,18.19
DCYB25,1.33
DM001,0.00
DOND-LGE-blu,8.40
DOND-LGE-brn,8.40
DOND-MED-blu,5.87
DOND-MED-brn,5.87
DOND-SET-blu,18.80
DOND-SET-brn,18.80
DOND-SML-blu,4.53
DOND-SML-brn,4.53
DT008,6.08
DT008a,0.25
DT018,0.85
DT019,0.60
DT022,0.75
DT023,0.95
DT027,1.30
DT036,16.80
DT037,0.85
DT045,0.80
DT048,4.35
DT054,2.31
DT058,4.80
DT061,7.60
DT062,0.61
DT063,0.51
DT065a,0.25
DT065b,0.25
DT065c,0.43
DT065d,0.49
DT066,0.17
DT067,0.29
DT068,0.39
DT069,0.20
DT070,0.32
DT071,0.41
DT074a,0.31
DT075,12.60
DT080,0.00
DT081,8.00
DT082,6.40
DT083,1.73
DT085,0.35
DT086,0.61
DT087,1.70
DT099,0.45
DT100,0.45
DT101,1.21
DT102,1.21
DT104,1.38
DT105,0.87
DT106,1.11
DT110,1.10
DT112,1.70
DT114,0.61
DT115,0.65
DT117KW,1.73
DT118KW,1.96
DT120KW,1.67
DT121KW,1.52
DT122KW,3.37
DT123KW,1.85
DT124KW,3.15
DT125,0.13
FF01-blu,1.90
FF01-grn,1.90
FF01-red,1.90
FF01-yel,1.90
FUTDCLGE-dkb,44.00
FUTDCLGE-fle,44.00
FUTDCLGE-fpa,44.00
FUTDCLGE-nat,44.00
FUTDCMED-dkb,16.00
FUTDCMED-fle,16.00
FUTDCMED-fpa,16.00
FUTDCMED-nat,16.00
FUTDCXLG-dkb,50.00
FUTDCXLG-fle,50.00
FUTDCXLG-fpa,50.00
FUTDCXLG-nat,50.00
FUTDLGE-dkb,28.72
FUTDLGE-fle,28.72
FUTDLGE-fpa,28.72
FUTDLGE-nat,28.72
FUTDMED-dkb,14.32
FUTDMED-fle,14.32
FUTDMED-fpa,14.32
FUTDMED-nat,14.32
FUTDXLG-dkb,34.60
FUTDXLG-fle,34.60
FUTDXLG-fpa,34.60
FUTDXLG-nat,34.60
FUTSCLGE-pbl,0.00
FUTSCLGE-ppu,0.00
FUTSCMED-pbl,0.00
FUTSCMED-ppu,0.00
FUTSCXLG-pbl,0.00
FUTSCXLG-ppu,0.00
FUTSLGE-pbl,0.00
FUTSLGE-ppu,0.00
FUTSMED-pbl,0.00
FUTSMED-ppu,0.00
FUTSXLG-pbl,0.00
FUTSXLG-ppu,0.00
GIFT04,0.00
GIFT05,0.00
GIFT06,0.00
GR22,0.75
GR51,17.01
GR52,16.80
GR53,17.01
GR60,3.71
GR61,3.15
GR62-blk,0.00
GR62-blu,0.00
GR65,0.00
GR66,1.13
GR67,1.00
GR68,1.27
GR69,0.91
GR70,1.27
GR71,1.27
GR80,0.78
GR81,28.08
GR97,2.04
GR98,0.83
GR99,0.86
HP009,0.99
HP009-blk,0.73
HP009-blu,0.73
HP009-custom,0.00
HP009-red,0.73
IDT001-blk,0.28
IDT001-blu,0.28
IDT001-grn,0.28
IDT001-org,0.28
IDT001-pur,0.28
IDT001-red,0.28
IDT002-blk,0.28
IDT002-blu,0.28
IDT002-grn,0.28
IDT002-org,0.28
IDT002-pur,0.28
IDT002-red,0.28
IDT003-blk,0.28
IDT003-blu,0.28
IDT003-grn,0.28
IDT003-org,0.28
IDT003-pur,0.28
IDT003-red,0.28
IDT004-blk,0.28
IDT004-blu,0.28
IDT004-grn,0.28
IDT004-org,0.28
IDT004-pur,0.28
IDT004-red,0.28
IDT005-blk,0.28
IDT005-blu,0.28
IDT005-grn,0.28
IDT005-org,0.28
IDT005-pur,0.28
IDT005-red,0.28
IDT006-set,8.40
IGLDLGE-fle,19.11
IGLDLGE-fpa,19.11
IGLPLGE-bbl,0.00
IGLPLGE-bpk,0.00
IGLSLGE-pbl,15.36
IGLSLGE-pbr,15.36
IGLSLGE-ppu,15.36
IGLSMED-pbl,12.13
IGLSMED-pbr,12.13
IGLSMED-ppu,12.13
K9C20B,2.82
K9C20F-CB,2.42
K9C20F-CR,2.42
K9C20V,2.19
K9C25B,2.93
K9C25F-CB,2.67
K9C25F-CR,2.67
K9C25V,2.48
K9C30B,3.48
K9C30F-CB,3.18
K9C30F-CR,3.18
K9C30V,2.85
K9C35B,3.83
K9C35F-CB,3.46
K9C35F-CR,3.46
K9C35V,3.16
K9C40B,5.25
K9C40F-CB,4.56
K9C40F-CR,4.56
K9C40V,4.63
K9C45B,5.46
K9C45F-CB,4.74
K9C45F-CR,4.74
K9C45V,4.84
K9C50B,7.08
K9C50F-CB,6.03
K9C50F-CR,6.03
K9C50V,6.47
K9C55B,7.32
K9C55F-CB,6.22
K9C55F-CR,6.22
K9C55V,6.73
K9C60B,8.08
K9C60F-CB,6.92
K9C60F-CR,6.92
K9C60V,7.49
K9C65B,9.98
K9C65F-CB,8.39
K9C65F-CR,8.39
K9C65V,9.40
K9C70B,10.19
K9C70F-CB,8.56
K9C70F-CR,8.56
K9C70V,9.61
K9C75B,11.12
K9C80B,11.61
K9CLGE-blu,9.46
K9CLGE-fle,9.46
K9CLGE-fpa,9.46
K9CLGE-pur,9.46
K9CLGE-red,9.46
K9CMED-blu,7.18
K9CMED-fle,7.18
K9CMED-fpa,7.18
K9CMED-pur,7.18
K9CMED-red,7.18
K9CSML-blu,5.18
K9CSML-fle,5.18
K9CSML-fpa,5.18
K9CSML-pur,5.18
K9CSML-red,5.18
K9CXLG-blu,12.82
