Item Number	Item Name	Buy	Sell	Inventory	Asset Acct	Income Acct	Expense/COS Acct	Item Picture	Description	Use Desc. On Sale	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Primary Supplier	Supplier Item Number	Tax Code When Bought	Buy Unit Measure	# Items/Buy Unit	Reorder Quantity	Minimum Level	Selling Price	Sell Unit Measure	Tax Code When Sold	Sell Price Inclusive	Sales Tax Calc. Method	# Items/Sell Unit	Inactive Item
-FOAM16	CUT FOAM 650x1020x38mm	B		I	13000												MELBOURNE FOAM COMPANY	KH002	GST	EA	1	1	1					0		N
-FOAM17	CUT FOAM 740x1200x38mm	B	S	I	13000	41000	51000										MELBOURNE FOAM COMPANY	KH003	GST	EA	1	1	1	$0.00		GST		0	1	N
-FOAM18	BELL BASE CUT FOAM 25MM	B		I	13000												MELBOURNE FOAM COMPANY	KH006	GST	EA	1	1	1					0		N
-FOAM19	BELL SIDE CUT FOAM (25MM)	B		I	13000												MELBOURNE FOAM COMPANY	KH005	GST	EA	1	1	1					0		N
-FOAM20	IGLOO D FOAM (MED) 25MM	B	S	I	13000	41000	51000										MELBOURNE FOAM COMPANY	KH01A	GST	EA	1	1	1	$0.00		GST		0	1	N
-FOAM21	IGLOO BODY FOAM (MED) 25MM	B	S	I	13000	41000	51000										MELBOURNE FOAM COMPANY	KH02A	GST	EA	1	1	1	$0.00		GST		0	1	N
-FOAM22	IGLOO D FOAM (LGE) 25mm	B	S	I	13000	41000	51000										MELBOURNE FOAM COMPANY	KH03A	GST	EA	1	1	1	$0.00		GST		0	1	N
-FOAM23	IGLOO BODY FOAM (LGE) 25MM	B	S	I	13000	41000	51000										MELBOURNE FOAM COMPANY	KH04A	GST	EA	1	1	1	$0.00		GST		0	1	N
-FOAM24	Small carry cage foam 35mm	B		I	13000												MELBOURNE FOAM COMPANY	KH007	GST	EA	1	1	1					0		N
-FOAM25	Large carry cage foam 35mm	B		I	13000												MELBOURNE FOAM COMPANY	KH008	GST	EA	1	1	1					0		N
-FOAM26	Cut foam suit sherpa mats 35mm	B		I	13000												MELBOURNE FOAM COMPANY	KH009	GST	EA	1	1	1					0		N
-FOAM27	Cut foam RNDSML deluxe body	B		I	13000												MELBOURNE FOAM COMPANY	KH010	GST	ea	1	0	0					0		N
-FOAM28	Cut foam RNDMED deluxe body	B		I	13000												MELBOURNE FOAM COMPANY	KH011	GST	ea	1	0	0					0		N
-FOAM29	Cut foam RNDLGE deluxe body	B		I	13000												MELBOURNE FOAM COMPANY	KH012	GST	ea	1	0	0					0		N
-FOAM30	Cut foam RNDXLG deluxe body	B		I	13000												MELBOURNE FOAM COMPANY	KH013	GST	ea	1	0	0					0		N
-FOAM31	Foam in plastic 960x640x35	B		I	13000												MELBOURNE FOAM COMPANY		GST	ea	1	0	0					0		N
-FOAM32	Cut foam RNDGNT deluxe body	B		I	13000												MELBOURNE FOAM COMPANY		GST	ea	1	0	0					0		N
-FUTL	FUTON INSERT LARGE	B	S	I	13000	41000	51000										TONTINE INDUSTR	416308	GST	EA	1	20	5	$18.75	ea	GST		0	1	N
-FUTM	FUTON INSERT MEDIUM	B	S	I	13000	41000	51000										TONTINE INDUSTR	416307	GST	EA	1	20	5	$8.29	ea	GST		0	1	N
-FUTXL	FUTON INSERT EXTRA LARGE	B	S	I	13000	41000	51000										TONTINE INDUSTR	416309	GST	EA	1	20	5	$26.56	ea	GST		0	1	N
-HANGER01	Hanger suit dog coats	B	S	I	13000	41000	51000										TIC (RETAIL ACCESSORIES)		GST	ea	1	0	0	$100.00	ea	GST		0	1	N
-INSUL01	THERMALWALL 2.4X1.2X0.01M	B		I	13000												INSULHOLMES & BUILDING SERVICES		GST	sheet	1	200	100					0		N
-JBELAB	JOHN BRADLEY LABOUR PER HR	B		I	13000												JBE		GST	HR	1	0	0					0		N
-K9001	K9060 FEET (100x40x360)	B		I	13000												FERNTREE GULLY BOX SHOP	K9001	GST	EA	1	50	400					0		N
-K9002	K9200 FEET (100x40x440)	B		I	13000												FERNTREE GULLY BOX SHOP	K9002	GST	EA	1	0	0					0		N
-K9003	K9060 BEARER (100x40x610)	B		I	13000												FERNTREE GULLY BOX SHOP	K9003	GST	EA	1	0	0					0		N
-K9004	K9200 BEARER (100x40x1013) new	B		I	13000												FERNTREE GULLY BOX SHOP	K9004	GST	EA	1	0	0					0		N
-K9005	K9600 FEET (70x35x600)	B		I	13000												FERNTREE GULLY BOX SHOP	K9005	GST	EA	1	0	0					0		N
-K9006	K9900 FEET (70x35x700)	B		I	13000												FERNTREE GULLY BOX SHOP	K9006	GST	EA	1	0	0					0		N
-K9007	K9600 RIB (70x35x900)	B		I	13000												FERNTREE GULLY BOX SHOP	K9007	GST	EA	1	0	0					0		N
-K9008	K9900 RIB (70x35x1100)	B		I	13000												FERNTREE GULLY BOX SHOP	K9008	GST	EA	1	0	0					0		N
-K9009	K9600 BEARER (70x35x1140)	B		I	13000												FERNTREE GULLY BOX SHOP	K9009	GST	EA	1	0	0					0		N
-K9010	K9900 BEARER (70x35x1420)	B		I	13000												FERNTREE GULLY BOX SHOP	K9010	GST	EA	1	0	0					0		N
-K9011	K9200 A FRAME (150x25x620)	B		I	13000												FERNTREE GULLY BOX SHOP	K9011	GST	EA	1	0	0					0		N
-K9013	K9060 A FRAME (150x19x390)	B		I	13000												FERNTREE GULLY BOX SHOP	K9013	GST	EA	1	0	0					0		N
-K9015A	K9600 & 900 A FRAME 150x25x760	B		I	13000												FERNTREE GULLY BOX SHOP	K9015	GST	EA	1	0	0					0		N
-K9016	K9300 RIB (70 X 35 X 800)	B		I	13000												FERNTREE GULLY BOX SHOP		GST	EA	1	0	0					0		N
-K9017	K9300 FEET (70 X 35 X 440)	B		I	13000												FERNTREE GULLY BOX SHOP		GST	EA	1	0	0					0		N
-K9109	90x35x2.1mt pine timber	B		I	13000												CITY TIMBER		GST	mt	1	0	0					0		N
-K9110	70x35x3.6mt pine timber	B		I	13000												CITY TIMBER		GST	mt	1	0	0					0		N
-K9111	70x19 drsd pine .9-2.4 lengths	B		I	13000												CITY TIMBER		GST	mt	1	0	0					0		N
-LAB01	CUTTING OF 115 WEBBING	B		I	13000												K-9 HOMES		GST		1	0	10					0		N
-LABEL01	ALUM KENNEL NAMEPLATES	B		I	13000												SARLON INDUSTRIES		GST	EA	1	2	1					0		N
-LABEL02	LABEL SUIT LEADS & COLLARS	B		I	13000												CASH'S AUSTRALIA	RP3030	GST	EA	1	20,000	1,000					0		N
-LABEL03	The Throw Rug washing label	B		I	13000												DEAN & KENT		GST	ea	1	2	1					0		N
-LABEL04	MATWD/MATDD washing labels	B	S	I	13000	41000	51000										DEAN & KENT		GST	ea	1	2	1	$100.00	ea	GST		0	1	N
-LABEL05	MATSF washing labels	B	S	I	13000	41000	51000										DEAN & KENT		GST	ea	1	2	1	$100.00	ea	GST		0	1	N
-LABEL06	RND washing labels	B	S	I	13000	41000	51000										DEAN & KENT		GST	ea	1	2	1	$100.00	ea	GST		0	1	N
-LABEL07	Plain K9 washing labels	B	S	I	13000	41000	51000										DEAN & KENT		GST	ea	1	2	1	$100.00	ea	GST		0	1	N
-LID01	SMALL KENNEL LID	B		I	51000												LASER IMAGING	LPO1449	GST	EA	1	50	10					0		N
-LID02	LARGE KENNEL LID NORMAL	B		I	51000												LASER IMAGING	LPO1328	GST	EA	1	50	10					0		N
-LID03	LARGE KENNEL LID RAISED	B		I	51000												LASER IMAGING	LPO7537	GST	EA	1	50	10					0		N
-LID05	63MM WHITE CAP (SUIT- CONT01)	B		I	13000												Cospak		GST	EA	1	0	0					0		N
-LID06	28MM WEBBED CAP	B	S	I	13000	41000	51000										PB PACKAGING		GST	EA	1	0	0	$0.00	EA	GST		0	1	N
-MAT01	MED SHERPA CVR WTH INSERT	B	S	I	13000	41000	51115										PET PILLOW	202LNWKM	GST	ea	1	0	0	$30.00	ea	GST		0	1	N
-PAINT01	METAL PRIMER RED 20LT	B		I	13000														GST	EA	1	0	0					0		N
-PAINT02	DEEP BRUNSWICK GREEN QD 20LT	B		I	13000												SHERWOOD PAINT INDUSTRIES	SF121-9992	GST	EA	1	0	0					0		N
-PAINT03	60LT GUN WASH THINNERS	B		I	13000												ERS AUSTRALIA	APGWSH060	GST	EA	1	2	0					0		N
-PAINT04	SMALL DOG BED B'WICK GREEN	B		I	13000												PLASTIC PROTECTION		GST		1	0	0					0		N
-PAINT05	MEDIUM DOG BED B'WICK GREEN	B		I	13000												PLASTIC PROTECTION		GST		1	0	0					0		N
-PAINT06	LARGE DOG BED B'WICK GREEN	B		I	13000												PLASTIC PROTECTION		GST		1	0	0					0		N
-PDL	DRIED LIVER 1KG	B		I	13000												*YUM YUM'S PET TREATS	LIVER TREATS	GST	EA	1	5	0					0		N
-PPLB	L COVER ONLY P PILLOW BLACK	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$18.16	EA	GST		0	1	N
-PPLT	L COVER ONLY P PILLOW TAN	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$18.16	EA	GST		0	1	N
-PPMB	M COVER ONLY P PILLOW BLACK	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$16.10	EA	GST		0	1	N
-PPMT	M COVER ONLY P PILLOW TAN	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$16.10	EA	GST		0	1	N
-PPSB	S COVER ONLY P PILLOW BLACK	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$13.30	EA	GST		0	1	N
-PPST	S COVER ONLY P PILLOW TAN	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$13.30	EA	GST		0	1	N
-PPXLB	XL COVER ONLY P PILLOW BLACK	B	S	I	13000	41000	51000										PET PILLOW		GST	ea	1	0	0	$30.93	ea	GST		0	1	N
-PPXLT	XL COVER ONLY P PILLOW TAN	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$19.20	EA	GST		0	1	N
-PPXXLB	XXL COVER ONLY P PILLOW BLACK	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$29.90	EA	GST		0	1	N
-PPXXLT	XXL COVER ONLY P PILLOW TAN	B	S	I	13000	41000	51000										PET PILLOW		GST	EA	1	0	0	$29.90	EA	GST		0	1	N
-REFLEC01	Sew on reflective tape 10mm	B		I	13000												REFLECTIVE FABRICATIONS OF AUSTRALIA		GST	mt	1	0	0					0		N
-REFLEC02	Sew on reflective tape 15mm	B		I	13000												REFLECTIVE FABRICATIONS OF AUSTRALIA		GST	mt	1	0	0					0		N
-RIPPLE5FT	RIPPLE IRON GALV 5FT	B		I	13000												ROBOT TRADING	48501	GST	EA	1	30	5					0		N
-RIPPLE8FT	RIPPLE IRON GALV 8FT	B		I	13000												ROBOT TRADING	48504	GST	EA	1	10	100					0		N
-RIV01	YKK pins to suit ptd leads	B		I	13000												YKK AUSTRALIA		GST	ea	1	0	0					0		N
-RIV02	YKK burs suit ptd leads	B		I	13000												YKK AUSTRALIA		GST	ea	1	0	0					0		N
-RIV03	Capped eyelets 8x6x4	B		I	13000												EH & ER BRABHAM		GST	ea	1	0	0					0		N
-RIV04	Bif riv 9x4/16x5/16	B		I	13000												EH & ER BRABHAM		GST	ea	1	0	0					0		N
-RIV05	Bif riv 9x5/16x5/16	B		I	13000												EH & ER BRABHAM		GST	ea	1	0	0					0		N
-RIV06	Bif rivert cap	B		I	13000												EH & ER BRABHAM	F1913nickle	GST	ea	1	0	0					0		N
-SCREW01	12X50MM HEX T17 NO NEO	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW02	10X25MM HEX T17 NO NEO	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW03	12-14X45MM HEX SELF DRILL	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW04	6ABX5/8 PAN S TAPPER ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW05	8ABX5/8 PAN S TAPPER ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW06	8ABx1 1/4 PAN PHIL S/TAPPER ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	1,000	100					0		N
-SCREW07	8ABX2 PAN S TAPPER ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW08	8ABX1 1/2 PAN S TAPPER ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW09	10ABX1 1/4 PAN S TAPPER ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW10	73SS4-2 POP RIVERT	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW11	ASL4-2 LARGE FLANGE POP RIVERT	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW12	73SS4-4 POP RIVERT	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW13	1/4X1 BSW ROOFING COMBI BOLT	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW14	1/4 BSW WING NUT ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW15	M6 NUTSERT (must be Avdel)	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW16	M6x25MM PAN PHIL MTL THREAD ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW17	18MM NAIL STAPLE (1000PC)	B		I	13000												PHILEIN	419K	GST	EA	1	5,000	0					0		N
-SCREW18	40MM NAIL STAPLE (1000PC)	B		I	13000												PHILEIN	440K	GST	EA	1	5,000	0					0		N
-SCREW19	3/16x1x16g MUDGUARD WASHER ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	1,000	100					0		N
-SCREW20	1/8X3/8X20G FLAT WASHER ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW21	6-28 POP RIVERT	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW22	4ABX3/8 PAN S TAPPER ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW23	3/8X4 ELE BOLT ZP	B		I	13000												ROMAK HARDWARE	71115	GST	ea	1	200	100					0		N
-SCREW24	TRAMP BED SCREW	B		I	13000												CORNALL (MERCHANDISE)	FH778X50EB	GST		1	0	1,000					0		N
-SCREW25	1" SQUARE PLASTIC CAP	B		I	13000												CORNALL (MERCHANDISE)	P780X1BL	GST		1	1,000	100					0		N
-SCREW26	4MM HEX WRENCH ZP	B		I	13000												CORNALL (MERCHANDISE)	FH1074ZP	GST	EA	1	500	100					0		N
-SCREW29	3/8X1 FLAT WASHER ZP maybe3/16	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW30	12X35 HEX T17 NO NEO	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW31	M5 NUTSERT	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW32	M5 X 20MM PAN ZINC	B		I	13000												MICRO FASTENERS		GST	EA	1	200	100					0		N
-SCREW33	3/8 HEX NUT ZP	B		I	13000												MICRO FASTENERS		GST	EA	1	1,000	100					0		N
